,site,holeID,Sextant,CAN,Device,deviceID,ofaID,Row,Column,apogeeST,bossST,metST,BOSSFiber,APOGEETrib,MTPFiber,LongLinkMTP,Comments,positionerID,APOGEEFiber
163,LCO,R+13C12,2,4,Positioner,P0442,11033,R+13,C12,17E,17E,17E,97,C11141009,E5,2,,442,59
164,LCO,R+13C6,2,4,Positioner,P0960,11153,R+13,C6,18A,18A,18A,88,C11141009,D3,2,,960,51
165,LCO,R+13C5,2,4,Positioner,P1236,11166,R+13,C5,18B,18B,18B,89,C11141009,D4,2,slightly higher FRD (green spare),1236,52
166,LCO,R+13C4,2,4,Positioner,P1294,11485,R+13,C4,18C,18C,18C,90,C11141009,D5,2,,1294,53
167,LCO,R+13C3,2,4,Positioner,P0232,11532,R+13,C3,18D,18D,18D,91,C11141009,D6,2,,232,54
168,LCO,R+2C14,2,4,Fiducial,FTO-201078,,R+2,C14,19EA,19EA,19EA,,,,,,0,
169,LCO,R+6C14,2,4,Fiducial,FTO-201715,,R+6,C14,1AA,1AA,1AA,,,,,,0,
170,LCO,R+10C14,2,4,Fiducial,FTO-201410,,R+10,C14,1BA,1BA,1BA,,,,,,0,
171,LCO,R+13C11,2,4,Positioner,P0408,11499,R+13,C11,2A,2A,2A,170,C201650001,A6,4,,408,96
172,LCO,R+13C10,2,4,Positioner,P0517,11468,R+13,C10,2B,2B,2B,171,C201650001,B1,4,,517,97
173,LCO,R+13C9,2,4,Positioner,P0538,11012,R+13,C9,2C,2C,2C,172,C201650001,B2,4,,538,98
174,LCO,R+13C8,2,4,Positioner,P1165,11537,R+13,C8,2D,2D,2D,173,C201650001,B3,4,,1165,99
175,LCO,R+13C7,2,4,Positioner,P1223,11552,R+13,C7,2E,2E,2E,174,C201650001,B4,4,,1223,100
176,LCO,R+4C14,2,4,Positioner,P0116,11055,R+4,C14,3A,3A,3A,165,,,,,116,
177,LCO,R+5C14,2,4,Positioner,P1234,11540,R+5,C14,3B,3B,3B,166,C201650001,A3,4,,1234,93
178,LCO,R+7C14,2,4,Positioner,P0659,11060,R+7,C14,3C,3C,3C,167,C201650001,A4,4,,659,94
179,LCO,R+8C14,2,4,Positioner,P0822,11497,R+8,C14,3D,3D,3D,168,,,,,822,
180,LCO,R+9C14,2,4,Positioner,P0139,10587,R+9,C14,3E,3E,3E,169,C201650001,A5,4,,139,95
181,LCO,R+5C17,3,1,Positioner,P0562,11410,R+5,C17,10A,10A,10A,214,,,,,562,
182,LCO,R+6C17,3,1,Positioner,P1313,11543,R+6,C17,10B,10B,10B,215,C11141001,A3,3,,1313,63
183,LCO,R+5C18,3,1,Positioner,P1224,11514,R+5,C18,10C,10C,10C,216,C11141001,A4,3,,1224,64
184,LCO,R+4C19,3,1,Positioner,P0576,11509,R+4,C19,10D,10D,10D,217,C11141001,A5,3,,576,65
185,LCO,R+4C17,3,1,Positioner,P1102,11265,R+4,C17,10E,10E,10E,218,C11141001,A6,3,,1102,66
186,LCO,R+7C16,3,1,Positioner,P1299,11220,R+7,C16,11A,11A,11A,209,C11141001,A2,3,,1299,62
187,LCO,R+8C16,3,1,Positioner,P1005,11181,R+8,C16,11B,11B,11B,210,,,,,1005,
188,LCO,R+6C18,3,1,Positioner,P0560,11092,R+6,C18,11C,11C,11C,211,,,,,560,
189,LCO,R+5C19,3,1,Positioner,P1171,11535,R+5,C19,11D,11D,11D,212,,,,,1171,
190,LCO,R+4C20,3,1,Positioner,P0980,11365,R+4,C20,11E,11E,11E,213,,,,,980,
191,LCO,R+3C15,3,1,Positioner,P0426,11504,R+3,C15,12A,12A,12A,205,,,,,426,
192,LCO,R+4C18,3,1,Fiducial,FTO-201528,201528,R+4,C18,19AA,19AA,19AA,,,,,,0,
193,LCO,R+7C17,3,1,Fiducial,FTO-201409,201409,R+7,C17,19BA,19BA,19BA,,,,,,0,
194,LCO,R+3C21,3,1,Fiducial,FTO-201150,201150,R+3,C21,19CA,19CA,19CA,,,,,,0,
195,LCO,R+3C20,3,1,Positioner,P0234,11350,R+3,C20,8A,8A,8A,224,C11141001,B3,3,,234,69
196,LCO,R+3C19,3,1,Positioner,P1180,11522,R+3,C19,8B,8B,8B,225,,,,,1180,
197,LCO,R+3C18,3,1,Positioner,P0583,10571,R+3,C18,8C,8C,8C,226,C11141001,B4,3,,583,70
198,LCO,R+3C17,3,1,Positioner,P0609,11544,R+3,C17,8D,8D,8D,227,,,,,609,
199,LCO,R+3C16,3,1,Positioner,P0873,11510,R+3,C16,8E,8E,8E,228,C11141001,B5,3,broken BOSS tributary fiber,873,71
200,LCO,R+4C16,3,1,Positioner,P0923,11173,R+4,C16,9A,9A,9A,219,,,,,923,
201,LCO,R+4C15,3,1,Positioner,P0558,11311,R+4,C15,9B,9B,9B,220,C11141001,B1,3,,558,67
202,LCO,R+5C15,3,1,Positioner,P0783,11534,R+5,C15,9C,9C,9C,221,,,,,783,
203,LCO,R+5C16,3,1,Positioner,P0915,11500,R+5,C16,9D,9D,9D,222,C11141001,B2,3,,915,68
204,LCO,R+6C16,3,1,Positioner,P0152,10878,R+6,C16,9E,9E,9E,223,,,,,152,
205,LCO,R+2C15,3,2,Positioner,P1154,10932,R+2,C15,12B,12B,12B,206,C201650001,E6,4,,1154,120
206,LCO,R+2C17,3,2,Positioner,P0274,11516,R+2,C17,12D,12D,12D,207,C11141001,A1,3,,274,61
207,LCO,R+2C18,3,2,Positioner,P0884,11435,R+2,C18,12E,12E,12E,208,,,,,884,
208,LCO,R+3C22,3,2,Positioner,P0427,10563,R+3,C22,13A,13A,13A,200,C201650001,E1,4,,427,115
209,LCO,R+4C21,3,2,Positioner,P1284,10891,R+4,C21,13B,13B,13B,201,C201650001,E2,4,,1284,116
210,LCO,R+5C20,3,2,Positioner,P0601,10740,R+5,C20,13C,13C,13C,202,C201650001,E3,4,,601,117
211,LCO,R+6C19,3,2,Positioner,P0862,11383,R+6,C19,13D,13D,13D,203,C201650001,E4,4,,862,118
212,LCO,R+7C18,3,2,Positioner,P0917,191,R+7,C18,13E,13E,13E,204,C201650001,E5,4,,917,119
213,LCO,R+7C15,3,2,Positioner,P0504,10632,R+7,C15,14A,14A,14A,195,,,,,504,
214,LCO,R+6C15,3,2,Positioner,P1024,393,R+6,C15,14B,14B,14B,196,C201650001,D5,4,,1024,113
215,LCO,R+8C17,3,2,Positioner,P1230,11529,R+8,C17,6A,6A,6A,234,C11141001,C3,3,,1230,75
216,LCO,R+9C16,3,2,Positioner,P0845,11520,R+9,C16,6B,6B,6B,235,C11141001,C4,3,,845,76
217,LCO,R+10C15,3,2,Positioner,P1047,11572,R+10,C15,6C,6C,6C,236,C11141001,C5,3,,1047,77
218,LCO,R+9C15,3,2,Positioner,P0480,380,R+9,C15,6D,6D,6D,237,,,,,480,
219,LCO,R+8C15,3,2,Positioner,P0754,251,R+8,C15,6E,6E,6E,238,C11141001,C6,3,,754,78
220,LCO,R+2C19,3,2,Positioner,P1128,407,R+2,C19,7A,7A,7A,229,C11141001,B6,3,,1128,72
221,LCO,R+2C20,3,2,Positioner,P0231,340,R+2,C20,7B,7B,7B,230,,,,broken BOSS tributary fiber,231,
222,LCO,R+2C21,3,2,Positioner,P0634,11077,R+2,C21,7C,7C,7C,231,C11141001,C1,3,,634,73
223,LCO,R+2C22,3,2,Positioner,P1090,11400,R+2,C22,7D,7D,7D,232,,,,,1090,
224,LCO,R+2C23,3,2,Positioner,P0470,11523,R+2,C23,7E,7E,7E,233,C11141001,C2,3,,470,74
225,LCO,R+1C15,3,3,Positioner,P0434,11427,R+1,C15,14C,14C,14C,197,,,,,434,
226,LCO,R+1C16,3,3,Positioner,P1031,11314,R+1,C16,14D,14D,14D,198,C201650001,D6,4,,1031,114
227,LCO,R+1C17,3,3,Positioner,P1219,10552,R+1,C17,14E,14E,14E,199,,,,,1219,
228,LCO,R+1C23,3,3,Positioner,P0909,10608,R+1,C23,15A,15A,15A,190,,,,,909,
229,LCO,R+1C24,3,3,Positioner,P0813,339,R+1,C24,15B,15B,15B,191,C201650001,D4,4,,813,112
